title,date_published,genre,director,actors,avg_vote,comb
it's a mad mad mad mad world,1965-05-28,"Action, Adventure, Comedy",Stanley Kramer,"Spencer Tracy, Milton Berle, Sid Caesar, Buddy Hackett, Ethel Merman, Mickey Rooney, Dick Shawn, Phil Silvers, Terry-Thomas, Jonathan Winters, Edie Adams, Dorothy Provine, Eddie 'Rochester' Anderson, Jim Backus, Ben Blue",7.5,Spencer Tracy  Milton Berle  Sid Caesar  Buddy Hackett  Ethel Merman  Mickey Rooney  Dick Shawn  Phil Silvers  Terry-Thomas  Jonathan Winters  Edie Adams  Dorothy Provine  Eddie 'Rochester' Anderson  Jim Backus  Ben Blue Stanley Kramer Action  Adventure  Comedy
the sword in the stone,1964-06-19,"Animation, Adventure, Comedy",Wolfgang Reitherman,"Sebastian Cabot, Karl Swenson, Rickie Sorensen, Junius Matthews, Ginny Tyler, Martha Wentworth, Norman Alden, Alan Napier, Richard Reitherman, Robert Reitherman",7.2,Sebastian Cabot  Karl Swenson  Rickie Sorensen  Junius Matthews  Ginny Tyler  Martha Wentworth  Norman Alden  Alan Napier  Richard Reitherman  Robert Reitherman Wolfgang Reitherman Animation  Adventure  Comedy
bande à part,1964-08-05,"Comedy, Crime, Drama",Jean-Luc Godard,"Anna Karina, Danièle Girard, Louisa Colpeyn, Chantal Darget, Sami Frey, Claude Brasseur, Georges Staquet, Ernest Menzer, Jean-Claude Rémoleux, Michel Delahaye, Louis Jojot, Claude Makovski, Michèle Seghers",7.8,Anna Karina  Danièle Girard  Louisa Colpeyn  Chantal Darget  Sami Frey  Claude Brasseur  Georges Staquet  Ernest Menzer  Jean-Claude Rémoleux  Michel Delahaye  Louis Jojot  Claude Makovski  Michèle Seghers Jean-Luc Godard Comedy  Crime  Drama
becket,1965-06-25,"Biography, Drama, History",Peter Glenville,"Richard Burton, Peter O'Toole, John Gielgud, Gino Cervi, Paolo Stoppa, Donald Wolfit, David Weston, Martita Hunt, Pamela Brown, Percy Herbert, Siân Phillips, Inigo Jackson, Felix Aylmer, Niall MacGinnis, Christopher Rhodes",7.8,Richard Burton  Peter O'Toole  John Gielgud  Gino Cervi  Paolo Stoppa  Donald Wolfit  David Weston  Martita Hunt  Pamela Brown  Percy Herbert  Siân Phillips  Inigo Jackson  Felix Aylmer  Niall MacGinnis  Christopher Rhodes Peter Glenville Biography  Drama  History
goldfinger,1964-09-25,"Action, Adventure, Thriller",Guy Hamilton,"Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton, Tania Mallet, Harold Sakata, Bernard Lee, Martin Benson, Cec Linder, Austin Willis, Lois Maxwell, Bill Nagy, Michael Mellinger, Peter Cranwell, Nadja Regin",7.7,Sean Connery  Gert Fröbe  Honor Blackman  Shirley Eaton  Tania Mallet  Harold Sakata  Bernard Lee  Martin Benson  Cec Linder  Austin Willis  Lois Maxwell  Bill Nagy  Michael Mellinger  Peter Cranwell  Nadja Regin Guy Hamilton Action  Adventure  Thriller
a hard day's night,1964-07-24,"Comedy, Music, Musical",Richard Lester,"The Beatles, John Lennon, Paul McCartney, George Harrison, Ringo Starr, Wilfrid Brambell, Norman Rossington, John Junkin, Victor Spinetti, Anna Quayle, Deryck Guyler, Richard Vernon, Edward Malin, Robin Ray, Lionel Blair",7.6,The Beatles  John Lennon  Paul McCartney  George Harrison  Ringo Starr  Wilfrid Brambell  Norman Rossington  John Junkin  Victor Spinetti  Anna Quayle  Deryck Guyler  Richard Vernon  Edward Malin  Robin Ray  Lionel Blair Richard Lester Comedy  Music  Musical
mary poppins,1965-04-16,"Comedy, Family, Fantasy",Robert Stevenson,"Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns, Hermione Baddeley, Reta Shaw, Karen Dotrice, Matthew Garber, Elsa Lanchester, Arthur Treacher, Reginald Owen, Ed Wynn, Jane Darwell, Arthur Malet, James Logan",7.8,Julie Andrews  Dick Van Dyke  David Tomlinson  Glynis Johns  Hermione Baddeley  Reta Shaw  Karen Dotrice  Matthew Garber  Elsa Lanchester  Arthur Treacher  Reginald Owen  Ed Wynn  Jane Darwell  Arthur Malet  James Logan Robert Stevenson Comedy  Family  Fantasy
my fair lady,1965-10-15,"Drama, Family, Musical",George Cukor,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfrid Hyde-White, Gladys Cooper, Jeremy Brett, Theodore Bikel, Mona Washbourne, Isobel Elsom, John Holland",7.8,Audrey Hepburn  Rex Harrison  Stanley Holloway  Wilfrid Hyde-White  Gladys Cooper  Jeremy Brett  Theodore Bikel  Mona Washbourne  Isobel Elsom  John Holland George Cukor Drama  Family  Musical
nothing but a man,1964-09-19,"Drama, Romance",Michael Roemer,"Ivan Dixon, Abbey Lincoln, Julius Harris, Gloria Foster, Martin Priest, Leonard Parker, Yaphet Kotto, Stanley Greene, Helen Lounck, Helene Arrindell, Walter Wilson, Milton Williams, Mel Stewart, Marshal Tompkin, Alfred Puryear",8.0,Ivan Dixon  Abbey Lincoln  Julius Harris  Gloria Foster  Martin Priest  Leonard Parker  Yaphet Kotto  Stanley Greene  Helen Lounck  Helene Arrindell  Walter Wilson  Milton Williams  Mel Stewart  Marshal Tompkin  Alfred Puryear Michael Roemer Drama  Romance
per un pugno di dollari,1967-06-30,"Drama, Western",Sergio Leone,"Clint Eastwood, Marianne Koch, Gian Maria Volontè, Wolfgang Lukschy, Sieghardt Rupp, Joseph Egger, Antonio Prieto, José Calvo, Margarita Lozano, Daniel Martín, Benito Stefanelli, Mario Brega, Bruno Carotenuto, Aldo Sambrell",8.0,Clint Eastwood  Marianne Koch  Gian Maria Volontè  Wolfgang Lukschy  Sieghardt Rupp  Joseph Egger  Antonio Prieto  José Calvo  Margarita Lozano  Daniel Martín  Benito Stefanelli  Mario Brega  Bruno Carotenuto  Aldo Sambrell Sergio Leone Drama  Western
la battaglia di algeri,1971-03-26,"Drama, War",Gillo Pontecorvo,"Brahim Hadjadj, Jean Martin, Yacef Saadi, Samia Kerbash, Ugo Paletti, Fusia El Kader, Mohamed Ben Kassen",8.1,Brahim Hadjadj  Jean Martin  Yacef Saadi  Samia Kerbash  Ugo Paletti  Fusia El Kader  Mohamed Ben Kassen Gillo Pontecorvo Drama  War
doctor zhivago,1966-08-26,"Drama, Romance, War",David Lean,"Omar Sharif, Julie Christie, Geraldine Chaplin, Rod Steiger, Alec Guinness, Tom Courtenay, Siobhan McKenna, Ralph Richardson, Rita Tushingham, Jeffrey Rockland, Tarek Sharif, Bernard Kay, Klaus Kinski, Gérard Tichy, Noel Willman",8.0,Omar Sharif  Julie Christie  Geraldine Chaplin  Rod Steiger  Alec Guinness  Tom Courtenay  Siobhan McKenna  Ralph Richardson  Rita Tushingham  Jeffrey Rockland  Tarek Sharif  Bernard Kay  Klaus Kinski  Gérard Tichy  Noel Willman David Lean Drama  Romance  War
major dundee,1965-09-17,"Adventure, War, Western",Sam Peckinpah,"Charlton Heston, Richard Harris, Jim Hutton, James Coburn, Michael Anderson Jr., Senta Berger, Mario Adorf, Brock Peters, Warren Oates, Ben Johnson, R.G. Armstrong, L.Q. Jones, Slim Pickens, Karl Swenson, Michael Pate",6.7,Charlton Heston  Richard Harris  Jim Hutton  James Coburn  Michael Anderson Jr.  Senta Berger  Mario Adorf  Brock Peters  Warren Oates  Ben Johnson  R.G. Armstrong  L.Q. Jones  Slim Pickens  Karl Swenson  Michael Pate Sam Peckinpah Adventure  War  Western
per qualche dollaro in più,1967-12-01,Western,Sergio Leone,"Clint Eastwood, Lee Van Cleef, Gian Maria Volontè, Mario Brega, Luigi Pistilli, Aldo Sambrell, Klaus Kinski, Benito Stefanelli, Luis Rodríguez, Panos Papadopulos, Mara Krupp, Roberto Camardiel, Joseph Egger, Tomás Blanco, Lorenzo Robledo",8.3,Clint Eastwood  Lee Van Cleef  Gian Maria Volontè  Mario Brega  Luigi Pistilli  Aldo Sambrell  Klaus Kinski  Benito Stefanelli  Luis Rodríguez  Panos Papadopulos  Mara Krupp  Roberto Camardiel  Joseph Egger  Tomás Blanco  Lorenzo Robledo Sergio Leone Western
the sound of music,1966-05-20,"Biography, Drama, Family",Robert Wise,"Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn, Peggy Wood, Charmian Carr, Heather Menzies-Urich, Nicholas Hammond, Duane Chase, Angela Cartwright, Debbie Turner, Kym Karath, Anna Lee, Portia Nelson, Ben Wright",8.0,Julie Andrews  Christopher Plummer  Eleanor Parker  Richard Haydn  Peggy Wood  Charmian Carr  Heather Menzies-Urich  Nicholas Hammond  Duane Chase  Angela Cartwright  Debbie Turner  Kym Karath  Anna Lee  Portia Nelson  Ben Wright Robert Wise Biography  Drama  Family
thunderball,1966-02-11,"Action, Adventure, Thriller",Terence Young,"Sean Connery, Claudine Auger, Adolfo Celi, Luciana Paluzzi, Rik Van Nutter, Guy Doleman, Molly Peters, Martine Beswick, Bernard Lee, Desmond Llewelyn, Lois Maxwell, Roland Culver, Earl Cameron, Paul Stassino, Rose Alba",7.0,Sean Connery  Claudine Auger  Adolfo Celi  Luciana Paluzzi  Rik Van Nutter  Guy Doleman  Molly Peters  Martine Beswick  Bernard Lee  Desmond Llewelyn  Lois Maxwell  Roland Culver  Earl Cameron  Paul Stassino  Rose Alba Terence Young Action  Adventure  Thriller
"il buono, il brutto, il cattivo",1968-09-13,Western,Sergio Leone,"Eli Wallach, Clint Eastwood, Lee Van Cleef, Aldo Giuffrè, Luigi Pistilli, Rada Rassimov, Enzo Petito, Claudio Scarchilli, John Bartha, Livio Lorenzon, Antonio Casale, Sandro Scarchilli, Benito Stefanelli, Angelo Novi, Antonio Casas",8.8,Eli Wallach  Clint Eastwood  Lee Van Cleef  Aldo Giuffrè  Luigi Pistilli  Rada Rassimov  Enzo Petito  Claudio Scarchilli  John Bartha  Livio Lorenzon  Antonio Casale  Sandro Scarchilli  Benito Stefanelli  Angelo Novi  Antonio Casas Sergio Leone Western
who's afraid of virginia woolf?,1967-03-31,Drama,Mike Nichols,"Elizabeth Taylor, Richard Burton, George Segal, Sandy Dennis",8.0,Elizabeth Taylor  Richard Burton  George Segal  Sandy Dennis Mike Nichols Drama
the graduate,1968-12-20,"Comedy, Drama, Romance",Mike Nichols,"Anne Bancroft, Dustin Hoffman, Katharine Ross, William Daniels, Murray Hamilton, Elizabeth Wilson, Buck Henry, Brian Avery, Walter Brooke, Norman Fell, Alice Ghostley, Marion Lorne, Eddra Gale",8.0,Anne Bancroft  Dustin Hoffman  Katharine Ross  William Daniels  Murray Hamilton  Elizabeth Wilson  Buck Henry  Brian Avery  Walter Brooke  Norman Fell  Alice Ghostley  Marion Lorne  Eddra Gale Mike Nichols Comedy  Drama  Romance
guess who's coming to dinner,1967-12-12,"Comedy, Drama",Stanley Kramer,"Spencer Tracy, Sidney Poitier, Katharine Hepburn, Katharine Houghton, Cecil Kellaway, Beah Richards, Roy Glenn, Isabel Sanford, Virginia Christine, Alexandra Hay, Barbara Randolph, D'Urville Martin, Tom Heaton, Grace Gaynor, Skip Martin",7.8,Spencer Tracy  Sidney Poitier  Katharine Hepburn  Katharine Houghton  Cecil Kellaway  Beah Richards  Roy Glenn  Isabel Sanford  Virginia Christine  Alexandra Hay  Barbara Randolph  D'Urville Martin  Tom Heaton  Grace Gaynor  Skip Martin Stanley Kramer Comedy  Drama
hang 'em high,1968-11-15,"Drama, Western",Ted Post,"Clint Eastwood, Inger Stevens, Ed Begley, Pat Hingle, Ben Johnson, Charles McGraw, Ruth White, Bruce Dern, Alan Hale Jr., Arlene Golonka, James Westerfield, Dennis Hopper, L.Q. Jones, Michael O'Sullivan, Joseph Sirola",7.0,Clint Eastwood  Inger Stevens  Ed Begley  Pat Hingle  Ben Johnson  Charles McGraw  Ruth White  Bruce Dern  Alan Hale Jr.  Arlene Golonka  James Westerfield  Dennis Hopper  L.Q. Jones  Michael O'Sullivan  Joseph Sirola Ted Post Drama  Western
the jungle book,1968-04-12,"Animation, Adventure, Family",Wolfgang Reitherman,"Phil Harris, Sebastian Cabot, Bruce Reitherman, George Sanders, Sterling Holloway, Louis Prima, J. Pat O'Malley, Verna Felton, Clint Howard, Chad Stuart, Lord Tim Hudson, John Abbott, Ben Wright, Darleen Carr",7.6,Phil Harris  Sebastian Cabot  Bruce Reitherman  George Sanders  Sterling Holloway  Louis Prima  J. Pat O'Malley  Verna Felton  Clint Howard  Chad Stuart  Lord Tim Hudson  John Abbott  Ben Wright  Darleen Carr Wolfgang Reitherman Animation  Adventure  Family
you only live twice,1967-08-04,"Action, Adventure, Thriller",Lewis Gilbert,"Sean Connery, Akiko Wakabayashi, Mie Hama, Tetsurô Tanba, Teru Shimada, Karin Dor, Donald Pleasence, Bernard Lee, Lois Maxwell, Desmond Llewelyn, Charles Gray, Tsai Chin, Peter Fanene Maivia, Burt Kwouk, Michael Chow",6.9,Sean Connery  Akiko Wakabayashi  Mie Hama  Tetsurô Tanba  Teru Shimada  Karin Dor  Donald Pleasence  Bernard Lee  Lois Maxwell  Desmond Llewelyn  Charles Gray  Tsai Chin  Peter Fanene Maivia  Burt Kwouk  Michael Chow Lewis Gilbert Action  Adventure  Thriller
2001: a space odyssey,1968-07-26,"Adventure, Sci-Fi",Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter, Leonard Rossiter, Margaret Tyzack, Robert Beatty, Sean Sullivan, Douglas Rain, Frank Miller, Bill Weston, Ed Bishop, Glenn Beck, Alan Gifford, Ann Gillis",8.3,Keir Dullea  Gary Lockwood  William Sylvester  Daniel Richter  Leonard Rossiter  Margaret Tyzack  Robert Beatty  Sean Sullivan  Douglas Rain  Frank Miller  Bill Weston  Ed Bishop  Glenn Beck  Alan Gifford  Ann Gillis Stanley Kubrick Adventure  Sci-Fi
bullitt,1969-02-28,"Action, Crime, Thriller",Peter Yates,"Steve McQueen, Robert Vaughn, Jacqueline Bisset, Don Gordon, Robert Duvall, Simon Oakland, Norman Fell, Georg Stanford Brown, Justin Tarr, Carl Reindel, Felice Orlandi, Vic Tayback, Robert Lipton, Ed Peck, Pat Renella",7.4,Steve McQueen  Robert Vaughn  Jacqueline Bisset  Don Gordon  Robert Duvall  Simon Oakland  Norman Fell  Georg Stanford Brown  Justin Tarr  Carl Reindel  Felice Orlandi  Vic Tayback  Robert Lipton  Ed Peck  Pat Renella Peter Yates Action  Crime  Thriller
funny girl,1969-04-04,"Biography, Comedy, Drama",William Wyler,"Barbra Streisand, Omar Sharif, Kay Medford, Anne Francis, Walter Pidgeon, Lee Allen, Mae Questel, Gerald Mohr, Frank Faylen, Mittie Lawrence, Gertrude Flynn, Penny Santon, John Harmon, Thordis Brandt, Bettina Brenna",7.4,Barbra Streisand  Omar Sharif  Kay Medford  Anne Francis  Walter Pidgeon  Lee Allen  Mae Questel  Gerald Mohr  Frank Faylen  Mittie Lawrence  Gertrude Flynn  Penny Santon  John Harmon  Thordis Brandt  Bettina Brenna William Wyler Biography  Comedy  Drama
night of the living dead,1970-11-13,Horror,George A. Romero,"Duane Jones, Judith O'Dea, Karl Hardman, Marilyn Eastman, Keith Wayne, Judith Ridley, Kyra Schon, Charles Craig, S. William Hinzman, George Kosana, Frank Doak, Bill Cardille, A.C. McDonald, Samuel R. Solito, Mark Ricci",7.9,Duane Jones  Judith O'Dea  Karl Hardman  Marilyn Eastman  Keith Wayne  Judith Ridley  Kyra Schon  Charles Craig  S. William Hinzman  George Kosana  Frank Doak  Bill Cardille  A.C. McDonald  Samuel R. Solito  Mark Ricci George A. Romero Horror
the odd couple,1968-11-08,Comedy,Gene Saks,"Jack Lemmon, Walter Matthau, John Fiedler, Herb Edelman, David Sheiner, Larry Haines, Monica Evans, Carole Shelley, Iris Adrian",7.7,Jack Lemmon  Walter Matthau  John Fiedler  Herb Edelman  David Sheiner  Larry Haines  Monica Evans  Carole Shelley  Iris Adrian Gene Saks Comedy
planet of the apes,1968-05-10,"Adventure, Sci-Fi",Franklin J. Schaffner,"Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans, James Whitmore, James Daly, Linda Harrison, Robert Gunner, Lou Wagner, Woodrow Parfrey, Jeff Burton, Buck Kartalian, Norman Burton, Wright King, Paul Lambert",8.0,Charlton Heston  Roddy McDowall  Kim Hunter  Maurice Evans  James Whitmore  James Daly  Linda Harrison  Robert Gunner  Lou Wagner  Woodrow Parfrey  Jeff Burton  Buck Kartalian  Norman Burton  Wright King  Paul Lambert Franklin J. Schaffner Adventure  Sci-Fi
the producers,1970-02-20,"Comedy, Music",Mel Brooks,"Estelle Winwood, Renée Taylor, David Patch, William Hickey, Barney Martin, Shimen Ruskin, Frank Campanella, Josip Elic, Madelyn Cates, John Zoller, Brutus Peck, Anne Ives, Amelie Barleon, Lisa Kirk, Nell Harrison",7.6,Estelle Winwood  Renée Taylor  David Patch  William Hickey  Barney Martin  Shimen Ruskin  Frank Campanella  Josip Elic  Madelyn Cates  John Zoller  Brutus Peck  Anne Ives  Amelie Barleon  Lisa Kirk  Nell Harrison Mel Brooks Comedy  Music
butch cassidy and the sundance kid,1969-12-26,"Biography, Crime, Drama",George Roy Hill,"Paul Newman, Robert Redford, Katharine Ross, Strother Martin, Henry Jones, Jeff Corey, George Furth, Cloris Leachman, Ted Cassidy, Kenneth Mars, Donnelly Rhodes, Jody Gilbert, Timothy Scott, Don Keefer, Charles Dierkop",8.0,Paul Newman  Robert Redford  Katharine Ross  Strother Martin  Henry Jones  Jeff Corey  George Furth  Cloris Leachman  Ted Cassidy  Kenneth Mars  Donnelly Rhodes  Jody Gilbert  Timothy Scott  Don Keefer  Charles Dierkop George Roy Hill Biography  Crime  Drama
easy rider,1970-03-27,"Adventure, Drama",Dennis Hopper,"Peter Fonda, Dennis Hopper, Antonio Mendoza, Phil Spector, Mac Mashourian, Warren Finnerty, Tita Colorado, Luke Askew, Luana Anders, Sabrina Scharf, Sandy Brown Wyeth, Robert Walker Jr., Robert Ball, Carmen Phillips, Ellie Wood Walker",7.3,Peter Fonda  Dennis Hopper  Antonio Mendoza  Phil Spector  Mac Mashourian  Warren Finnerty  Tita Colorado  Luke Askew  Luana Anders  Sabrina Scharf  Sandy Brown Wyeth  Robert Walker Jr.  Robert Ball  Carmen Phillips  Ellie Wood Walker Dennis Hopper Adventure  Drama
"hello, dolly!",1969-12-26,"Adventure, Comedy, Musical",Gene Kelly,"Barbra Streisand, Walter Matthau, Michael Crawford, Marianne McAndrew, Danny Lockin, E.J. Peaker, Joyce Ames, Tommy Tune, Judy Knaiz, David Hurst, Fritz Feld, Richard Collier, J. Pat O'Malley, Louis Armstrong",7.1,Barbra Streisand  Walter Matthau  Michael Crawford  Marianne McAndrew  Danny Lockin  E.J. Peaker  Joyce Ames  Tommy Tune  Judy Knaiz  David Hurst  Fritz Feld  Richard Collier  J. Pat O'Malley  Louis Armstrong Gene Kelly Adventure  Comedy  Musical
midnight cowboy,1971-03-26,"Drama, Western",John Schlesinger,"Dustin Hoffman, Jon Voight, Sylvia Miles, John McGiver, Brenda Vaccaro, Barnard Hughes, Ruth White, Jennifer Salt, Gilman Rankin, Gary Owens, T. Tom Marlow, George Eppersen, Al Scott, Linda Davis, J.T. Masters",7.8,Dustin Hoffman  Jon Voight  Sylvia Miles  John McGiver  Brenda Vaccaro  Barnard Hughes  Ruth White  Jennifer Salt  Gilman Rankin  Gary Owens  T. Tom Marlow  George Eppersen  Al Scott  Linda Davis  J.T. Masters John Schlesinger Drama  Western
on her majesty's secret service,1970-02-13,"Action, Adventure, Thriller",Peter R. Hunt,"George Lazenby, Diana Rigg, Telly Savalas, Gabriele Ferzetti, Ilse Steppat, Lois Maxwell, George Baker, Bernard Lee, Bernard Horsfall, Desmond Llewelyn, Yuri Borienko, Virginia North, Geoffrey Cheshire, Irvin Allen, Terence Mountain",6.7,George Lazenby  Diana Rigg  Telly Savalas  Gabriele Ferzetti  Ilse Steppat  Lois Maxwell  George Baker  Bernard Lee  Bernard Horsfall  Desmond Llewelyn  Yuri Borienko  Virginia North  Geoffrey Cheshire  Irvin Allen  Terence Mountain Peter R. Hunt Action  Adventure  Thriller
paint your wagon,1970-09-25,"Comedy, Drama, Musical",Joshua Logan,"Lee Marvin, Clint Eastwood, Jean Seberg, Harve Presnell, Ray Walston, Tom Ligon, Alan Dexter, William O'Connell, Benny Baker, Alan Baxter, Paula Trueman, Robert Easton, Geoffrey Norman, H.B. Haggerty, Terry Jenkins",6.6,Lee Marvin  Clint Eastwood  Jean Seberg  Harve Presnell  Ray Walston  Tom Ligon  Alan Dexter  William O'Connell  Benny Baker  Alan Baxter  Paula Trueman  Robert Easton  Geoffrey Norman  H.B. Haggerty  Terry Jenkins Joshua Logan Comedy  Drama  Musical
two mules for sister sara,1971-03-26,"Adventure, Romance, War",Don Siegel,"Shirley MacLaine, Clint Eastwood, Manolo Fábregas, Alberto Morin, Armando Silvestre, John Kelly, David Povall, Ada Carrasco, Pancho Córdova, José Chávez, Pedro Galván, José Ángel Espinosa 'Ferrusquilla', Enrique Lucero, Aurora Muñoz, Xavier Marc",7.0,Shirley MacLaine  Clint Eastwood  Manolo Fábregas  Alberto Morin  Armando Silvestre  John Kelly  David Povall  Ada Carrasco  Pancho Córdova  José Chávez  Pedro Galván  José Ángel Espinosa 'Ferrusquilla'  Enrique Lucero  Aurora Muñoz  Xavier Marc Don Siegel Adventure  Romance  War
where eagles dare,1969-05-30,"Action, Adventure, War",Brian G. Hutton,"Richard Burton, Clint Eastwood, Mary Ure, Patrick Wymark, Michael Hordern, Donald Houston, Peter Barkworth, William Squire, Robert Beatty, Brook Williams, Neil McCarthy, Vincent Ball, Anton Diffring, Ferdy Mayne, Derren Nesbitt",7.7,Richard Burton  Clint Eastwood  Mary Ure  Patrick Wymark  Michael Hordern  Donald Houston  Peter Barkworth  William Squire  Robert Beatty  Brook Williams  Neil McCarthy  Vincent Ball  Anton Diffring  Ferdy Mayne  Derren Nesbitt Brian G. Hutton Action  Adventure  War
the wild bunch,1971-03-05,"Action, Adventure, Western",Sam Peckinpah,"William Holden, Ernest Borgnine, Robert Ryan, Edmond O'Brien, Warren Oates, Jaime Sánchez, Ben Johnson, Emilio Fernández, Strother Martin, L.Q. Jones, Albert Dekker, Bo Hopkins, Dub Taylor, Paul Harper, Jorge Russek",7.9,William Holden  Ernest Borgnine  Robert Ryan  Edmond O'Brien  Warren Oates  Jaime Sánchez  Ben Johnson  Emilio Fernández  Strother Martin  L.Q. Jones  Albert Dekker  Bo Hopkins  Dub Taylor  Paul Harper  Jorge Russek Sam Peckinpah Action  Adventure  Western
